Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,ms_ssim,vmaf,
39,72.000000,6.056249,6.719263,1.000000,1.000002,1.000011,1.000000,1.000000,1.000000,1.000000,0.999996,0.999994,0.999994,1.000000,100.000000,
40,72.000000,4.532331,6.056249,1.000000,1.000002,1.000011,1.000000,1.000001,1.000001,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
41,72.000000,4.354589,4.532331,1.000000,1.000002,1.000011,1.000000,1.000000,1.000001,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
42,72.000000,4.354589,4.354589,1.000000,1.000002,1.000011,1.000000,1.000000,1.000001,1.000000,0.999996,0.999994,0.999994,1.000000,100.000000,
43,72.000000,4.732052,4.732052,1.000000,1.000002,1.000011,1.000000,1.000000,1.000000,1.000000,0.999996,0.999994,0.999994,1.000000,100.000000,
44,72.000000,5.602253,5.602253,1.000000,1.000002,1.000012,1.000000,1.000001,1.000001,1.000000,0.999996,0.999994,0.999994,1.000000,100.000000,
45,72.000000,6.862114,6.862114,1.000000,1.000002,1.000011,1.000000,1.000000,1.000000,1.000000,0.999996,0.999994,0.999994,1.000000,100.000000,
46,72.000000,7.461882,7.461882,1.000000,1.000002,1.000012,1.000000,1.000000,1.000000,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
47,72.000000,8.139799,8.139799,1.000000,1.000002,1.000011,1.000000,1.000000,1.000000,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
48,72.000000,9.162353,9.236605,1.000000,1.000002,1.000011,1.000000,1.000000,1.000000,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
49,72.000000,9.162353,9.162353,1.000000,1.000002,1.000011,1.000000,1.000001,1.000001,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
50,72.000000,10.229182,10.229182,1.000000,1.000002,1.000011,1.000000,1.000001,1.000000,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
51,72.000000,10.930433,10.930433,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
52,72.000000,11.234274,11.234274,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
53,72.000000,11.620443,11.817168,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
54,72.000000,11.620443,11.620443,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
55,72.000000,11.703464,11.798964,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
56,72.000000,11.574952,11.703464,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
57,72.000000,11.574952,11.574952,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
58,72.000000,11.607727,11.674853,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
59,72.000000,11.607727,11.607727,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
60,72.000000,11.703128,11.703128,1.000000,1.000002,1.000009,1.000000,1.000001,1.000000,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
61,72.000000,11.724504,11.778871,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
62,72.000000,11.724504,11.724504,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
63,72.000000,11.790896,11.790896,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
64,72.000000,11.898245,11.996670,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
65,72.000000,11.898245,11.898245,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
66,72.000000,11.875896,11.969610,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
67,72.000000,11.875896,11.875896,1.000000,1.000002,1.000009,1.000000,1.000000,1.000001,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
